Company,URL,IndustryCode,IndustryCodeDescription
Sirdar Holdings Ltd,http://www.sirdar.co.uk,51,"(51)  Wholesale & Commission Trade, Except of Motor Vehicles and Motorcycles"
Sirius Safety Management Ltd,http://www.siriussafety.co.uk,74,(74)  Other Business Activities
Suez Uk Environment Ltd,http://www.sita.co.uk,45,(45)  Construction
The Six Bells,http://www.sixbellsbarrow.com,55,(55)  Hotels and Restaurants
Six to Start Ltd,http://www.sixtostart.com,72,(72)  Computer and Related Activities
The Black Bull,https://www.sizzlingpubs.co.uk/,55,(55)  Hotels and Restaurants
Sj Design Ltd,http://www.sjdesign.net,74,(74)  Other Business Activities
Sjh Carpets Ltd,https://sjhcarpets.co.uk/,52,"(52)  Retail Trade, Exc. Motor Vehicles/Cycles; Repair of Personal/House'd Goods"
Sjk Tax Ltd,http://www.sjktax.co.uk,74,(74)  Other Business Activities
Skanska Construction Company Ltd,https://www.skanska.co.uk/,45,(45)  Construction
S K Financial Ltd,http://skfinancial.net/,65,"(65)  Financial Intermediation, Except Insurance and Pension Funding"
Skills2learn Ltd,http://www.skills2learn.com,72,(72)  Computer and Related Activities
Skills Travel,http://www.skills.co.uk,60,(60)  Land Transport; Transport Via Pipelines
Skillswise Training and Development Ltd,http://www.skillswise.org.uk,80,(80)  Education
1 Ace Skips Ltd,http://www.skiphire4u.co.uk,90,"(90)  Sewage and Refuse Disposal, Sanitation and Similar Activities"
Simon Kleyn Ltd,http://www.skopticians.co.uk,85,(85)  Health and Social Work
Skyblue Research Ltd,http://www.skyblue.org.uk,74,(74)  Other Business Activities
Skylark Communications Ltd,http://www.skylarkcreative.co.uk,74,(74)  Other Business Activities
Skyline Owners Club Ltd,http://www.skyline-owners-club.com/forums/,91,(91)  Activities of Membership Organisations Not Elsewhere Classified
Skywell Ltd,http://www.skywell.co.uk,72,(72)  Computer and Related Activities
Slanjayvah Danza,http://slanjayvahdanza.com/,92,"(92)  Recreational, Cultural and Sporting Activities"
Sl Capital Partners Llp,https://www.slcapital.com,66,"(66)  Insurance and Pension Funding, Except Compulsory Social Security"
Slimming World,https://www.slimmingworld.co.uk/,92,"(92)  Recreational, Cultural and Sporting Activities"
Miles Bramwell Executive Services,http://www.slimmingworld.com,92,"(92)  Recreational, Cultural and Sporting Activities"
Slimming World,http://www.slimmingworld.com,93,(93)  Other Service Activities
Slimview Uk Ltd,http://www.slimview.co.uk,50,"(50)  Sale, Maint/Repair of Motor Vehicles/Cycles; Retail Sale of Automotive Fuel"
Small Steps Day Care Ltd,http://www.smallstepsdaycare.co.uk,74,(74)  Other Business Activities
Smalltown America Ltd,http://www.smalltownamerica.co.uk,22,"(22)  Publishing, Printing and Reproduction of Recorded Media"
Smartbus Ltd,http://www.smartbus-uk.com,60,(60)  Land Transport; Transport Via Pipelines
Smart Electrical Services (Scotland) Ltd.,https://www.smartelectricalservices.co.uk/,45,(45)  Construction
Smarter Security Solutions Ltd,http://www.smartersecurity.co.uk,74,(74)  Other Business Activities
Smart Financial Planning Ltd,http://www.smartfinancial.co.uk,65,"(65)  Financial Intermediation, Except Insurance and Pension Funding"
Smart Veterinary Clinic Ltd,http://www.smartvetwales.co.uk,85,(85)  Health and Social Work
Smarty Paints Ltd,http://www.smartypaints.co.uk,92,"(92)  Recreational, Cultural and Sporting Activities"
Sm Consultancy Ltd,http://www.smconsultancy.co.uk,74,(74)  Other Business Activities
Smidt Ltd,http://www.smidt.org.uk,45,(45)  Construction
Sminc Ltd,http://www.sminc.co.uk,72,(72)  Computer and Related Activities
Thomas Ford (Smithfield) Ltd,https://www.smithfieldbutchers.co.uk/,52,"(52)  Retail Trade, Exc. Motor Vehicles/Cycles; Repair of Personal/House'd Goods"
Scott Morrison Plumbing Ltd,http://www.smplumbingandheatingaberdeenshire.co.uk,45,(45)  Construction
Kent Castle Ltd,http://smpworld.co.uk/,71,(71)  Renting of Machinery & Eqpt Without Operator & of Personal & House'd Goods
